size,run,section_size,process_time,initial_rss,final_rss
2000,21,5,488.328125,51109888,218083328
2000,21,6,439.078125,51122176,206258176
2000,22,5,488.625,51425280,216637440
2000,22,6,437.90625,50917376,205082624
2000,23,5,486.359375,51769344,218161152
2000,23,6,436.125,51093504,206598144
2000,24,5,485.890625,51167232,216854528
2000,24,6,437.59375,51412992,206323712
2000,25,5,487.875,50540544,217980928
2000,25,6,437.09375,50491392,206209024
2000,26,5,487.890625,68997120,216850432
2000,26,6,436.234375,69087232,206168064
2000,27,5,485.046875,69120000,217354240
2000,27,6,438.953125,69017600,205438976
2000,28,5,485.703125,68739072,218185728
2000,28,6,434.78125,67993600,206688256
2000,29,5,486.765625,68247552,217972736
2000,29,6,437.828125,68206592,206237696
2000,30,5,484.234375,67964928,218189824
2000,30,6,434.75,67932160,206245888
2000,31,5,486.140625,69259264,216506368
2000,31,6,433.65625,68792320,206729216
2000,32,5,484.828125,69263360,218165248
2000,32,6,436.4375,67485696,206422016
2000,33,5,484.84375,69210112,216801280
2000,33,6,433.84375,67436544,205258752
2000,34,5,484.4375,67657728,216481792
2000,34,6,435.78125,69722112,206880768
2000,35,5,483.8125,68227072,217055232
2000,35,6,435.546875,68722688,207110144
2000,36,5,486.46875,69586944,216928256
2000,36,6,436.421875,69296128,207765504
2000,37,5,476.015625,69652480,217878528
2000,37,6,437.40625,68308992,206602240
2000,38,5,475.625,69087232,218009600
2000,38,6,427.5625,67964928,205316096
2000,39,5,457.875,67956736,217067520
2000,39,6,427.015625,69320704,205455360
2000,40,5,458.078125,67723264,216911872
2000,40,6,409.71875,67977216,205246464
